# SQM interaction energies (kcal/mol)
"name"	"PM6"	"PM6-D3H4"	"PM6-D3H4X"	"PM6-D3H4'X"	"PM7"	"DFTB3"	"DFTB3-D3"	"DFTB3-D3H4"	"DFTB3-D3H5"	"DFTB3-D3H5'"	"GFN-XTB2"
4.13_1.05_Nmethylacetamide--dimethyldisulfide	-1.427	-3.349	-3.352	-4.723	-2.325	-1.361	-4.039	-4.051	-4.202	-4.202	-3.824
4.13_1.10_Nmethylacetamide--dimethyldisulfide	-1.518	-3.376	-3.378	-4.730	-2.721	-1.261	-3.743	-3.832	-3.930	-3.930	-3.651
4.13_1.25_Nmethylacetamide--dimethyldisulfide	-1.390	-2.829	-2.831	-4.002	-2.990	-0.861	-2.774	-2.765	-2.826	-2.826	-2.897
4.13_1.50_Nmethylacetamide--dimethyldisulfide	-0.997	-1.717	-1.718	-2.335	-2.276	-0.523	-1.644	-1.456	-1.504	-1.504	-1.814
4.13_2.00_Nmethylacetamide--dimethyldisulfide	-0.533	-0.724	-0.724	-0.729	-0.938	-0.290	-0.613	-0.525	-0.556	-0.556	-0.762
4.14_0.80_Nmethylacetamide--tetrahydrothiophene	4.363	3.011	3.003	1.895	4.990	6.227	1.727	3.564	1.800	1.800	-0.762
4.14_0.85_Nmethylacetamide--tetrahydrothiophene	1.211	-0.673	-0.681	-1.886	1.139	2.555	-1.706	-0.414	-2.216	-2.216	-3.375
4.14_0.90_Nmethylacetamide--tetrahydrothiophene	-0.716	-2.942	-2.949	-4.229	-1.263	0.251	-3.768	-2.904	-4.506	-4.506	-4.683
4.14_0.95_Nmethylacetamide--tetrahydrothiophene	-1.807	-4.228	-4.234	-5.564	-2.714	-0.900	-4.676	-4.100	-5.329	-5.329	-5.195
4.14_1.00_Nmethylacetamide--tetrahydrothiophene	-2.334	-4.842	-4.848	-6.203	-3.547	-1.393	-4.923	-4.561	-5.383	-5.383	-5.244
4.14_1.05_Nmethylacetamide--tetrahydrothiophene	-2.499	-5.004	-5.009	-6.365	-3.978	-1.524	-4.811	-4.645	-5.136	-5.136	-5.041
4.14_1.10_Nmethylacetamide--tetrahydrothiophene	-2.451	-4.866	-4.871	-6.203	-4.151	-1.471	-4.517	-4.536	-4.808	-4.808	-4.713
4.14_1.25_Nmethylacetamide--tetrahydrothiophene	-1.900	-3.734	-3.738	-4.879	-3.884	-1.030	-3.387	-3.400	-3.465	-3.465	-3.542
4.14_1.50_Nmethylacetamide--tetrahydrothiophene	-1.148	-2.121	-2.122	-2.734	-2.707	-0.548	-1.957	-1.756	-1.791	-1.791	-1.989
4.14_2.00_Nmethylacetamide--tetrahydrothiophene	-0.486	-0.753	-0.753	-0.764	-0.982	-0.233	-0.661	-0.549	-0.565	-0.565	-0.603
4.15_0.80_aceticacid--dimethyldisulfide	1.266	0.309	0.304	-3.078	6.999	1.439	-0.511	0.426	-1.058	-1.058	-0.674
4.15_0.85_aceticacid--dimethyldisulfide	-0.877	-1.858	-1.862	-5.264	3.501	-0.457	-2.319	-1.575	-3.261	-3.261	-3.402
4.15_0.90_aceticacid--dimethyldisulfide	-2.109	-3.120	-3.123	-6.494	1.250	-1.857	-3.631	-3.074	-4.860	-4.860	-4.778
4.15_0.95_aceticacid--dimethyldisulfide	-2.780	-3.821	-3.823	-7.115	-0.179	-2.775	-4.462	-4.018	-5.711	-5.711	-5.295
4.15_1.00_aceticacid--dimethyldisulfide	-3.090	-4.152	-4.154	-7.324	-1.070	-3.061	-4.660	-4.278	-5.691	-5.691	-5.308
4.15_1.05_aceticacid--dimethyldisulfide	-3.157	-4.226	-4.228	-7.238	-1.612	-2.945	-4.454	-4.137	-5.187	-5.187	-5.052
4.15_1.10_aceticacid--dimethyldisulfide	-3.064	-4.119	-4.120	-6.940	-1.928	-2.661	-4.081	-3.847	-4.560	-4.560	-4.676
4.15_1.25_aceticacid--dimethyldisulfide	-2.392	-3.256	-3.257	-5.385	-2.194	-1.696	-2.851	-2.834	-3.047	-3.047	-3.494
4.15_1.50_aceticacid--dimethyldisulfide	-1.438	-1.977	-1.977	-2.949	-1.814	-0.829	-1.585	-1.463	-1.569	-1.569	-2.116
4.15_2.00_aceticacid--dimethyldisulfide	-0.582	-0.739	-0.740	-0.754	-0.795	-0.337	-0.599	-0.518	-0.567	-0.567	-0.858
4.16_0.80_aceticacid--dimethylsulfide	-0.341	-1.408	-1.413	-3.172	6.072	0.031	-2.246	-0.827	-3.204	-3.204	-2.779
4.16_0.85_aceticacid--dimethylsulfide	-2.836	-3.966	-3.970	-5.879	2.193	-1.842	-4.022	-2.889	-5.653	-5.653	-5.856
4.16_0.90_aceticacid--dimethylsulfide	-4.151	-5.352	-5.356	-7.382	-0.231	-2.963	-5.046	-4.172	-7.280	-7.280	-7.415
4.16_0.95_aceticacid--dimethylsulfide	-4.762	-6.031	-6.034	-8.143	-1.699	-3.816	-5.802	-5.119	-8.348	-8.348	-7.962
4.16_1.00_aceticacid--dimethylsulfide	-4.947	-6.267	-6.269	-8.425	-2.549	-4.231	-6.119	-5.569	-8.588	-8.588	-7.892
4.16_1.05_aceticacid--dimethylsulfide	-4.868	-6.215	-6.218	-8.383	-3.008	-4.145	-5.934	-5.489	-8.020	-8.020	-7.484
4.16_1.10_aceticacid--dimethylsulfide	-4.625	-5.974	-5.976	-8.116	-3.223	-3.797	-5.487	-5.141	-7.067	-7.067	-6.918
4.16_1.25_aceticacid--dimethylsulfide	-3.526	-4.677	-4.678	-6.561	-3.190	-2.503	-3.895	-3.853	-4.498	-4.498	-5.155
4.16_1.50_aceticacid--dimethylsulfide	-2.065	-2.755	-2.755	-3.858	-2.470	-1.228	-2.160	-1.985	-2.251	-2.251	-3.116
4.16_2.00_aceticacid--dimethylsulfide	-0.829	-1.035	-1.035	-1.078	-1.048	-0.477	-0.809	-0.699	-0.823	-0.823	-1.257
4.17_0.80_aceticacid--thioacetone	-1.245	-2.191	-2.203	-4.034	4.701	-0.562	-2.327	-0.529	-4.225	-4.225	-1.861
4.17_0.85_aceticacid--thioacetone	-3.443	-4.397	-4.405	-6.376	1.263	-2.907	-4.594	-3.095	-7.622	-7.622	-4.914
4.17_0.90_aceticacid--thioacetone	-4.539	-5.500	-5.505	-7.579	-0.854	-4.419	-6.024	-4.813	-9.702	-9.702	-6.369
4.17_0.95_aceticacid--thioacetone	-4.985	-5.940	-5.944	-8.083	-2.107	-5.260	-6.778	-5.828	-10.440	-10.440	-6.829
4.17_1.00_aceticacid--thioacetone	-5.036	-5.968	-5.971	-8.137	-2.798	-5.374	-6.804	-6.077	-9.874	-9.874	-6.717
4.17_1.05_aceticacid--thioacetone	-4.844	-5.739	-5.741	-7.896	-3.126	-5.051	-6.394	-5.812	-8.555	-8.555	-6.306
4.17_1.10_aceticacid--thioacetone	-4.511	-5.365	-5.367	-7.476	-3.228	-4.559	-5.816	-5.311	-7.065	-7.065	-5.768
4.17_1.25_aceticacid--thioacetone	-3.305	-4.049	-4.050	-5.845	-2.937	-3.072	-4.083	-3.855	-4.111	-4.111	-4.180
4.17_1.50_aceticacid--thioacetone	-1.939	-2.432	-2.433	-3.393	-2.091	-1.686	-2.343	-2.188	-2.223	-2.223	-2.445
4.17_2.00_aceticacid--thioacetone	-0.805	-0.946	-0.946	-0.962	-0.960	-0.736	-0.963	-0.885	-0.901	-0.901	-0.993
4.18_0.80_bromicacid--sulfane	3.099	3.220	3.219	1.400	4.854	2.926	1.509	2.287	-0.362	0.040	-5.400
4.18_0.85_bromicacid--sulfane	0.251	0.094	0.094	-1.867	1.268	0.943	-0.452	0.125	-3.129	-2.770	-7.224
4.18_0.90_bromicacid--sulfane	-1.564	-1.945	-1.946	-4.013	-0.993	-0.747	-2.116	-1.663	-5.283	-4.943	-7.893
4.18_0.95_bromicacid--sulfane	-2.699	-3.271	-3.271	-5.406	-2.374	-2.006	-3.346	-2.956	-6.489	-6.178	-7.838
4.18_1.00_bromicacid--sulfane	-3.360	-4.091	-4.091	-6.254	-3.177	-2.615	-3.921	-3.579	-6.575	-6.314	-7.381
4.18_1.05_bromicacid--sulfane	-3.676	-4.527	-4.528	-6.681	-3.610	-2.774	-4.042	-3.769	-5.982	-5.781	-6.743
4.18_1.10_bromicacid--sulfane	-3.743	-4.668	-4.669	-6.778	-3.811	-2.701	-3.927	-3.744	-5.179	-5.034	-6.063
4.18_1.25_bromicacid--sulfane	-3.167	-4.062	-4.063	-5.870	-3.771	-2.024	-3.100	-3.149	-3.347	-3.287	-4.328
4.18_1.50_bromicacid--sulfane	-1.939	-2.533	-2.533	-3.542	-3.011	-1.116	-1.893	-1.795	-1.812	-1.773	-2.593
4.18_2.00_bromicacid--sulfane	-0.757	-0.924	-0.924	-0.958	-1.304	-0.473	-0.765	-0.648	-0.656	-0.637	-1.058
4.19_0.80_methanol--dimethyldisulfide	4.533	3.701	3.699	1.000	9.510	3.714	1.701	2.560	1.347	1.347	0.599
4.19_0.85_methanol--dimethyldisulfide	1.882	0.956	0.955	-1.921	5.555	1.116	-0.809	-0.206	-1.547	-1.547	-1.676
4.19_0.90_methanol--dimethyldisulfide	0.195	-0.818	-0.819	-3.807	2.884	-0.579	-2.416	-1.979	-3.235	-3.235	-2.839
4.19_0.95_methanol--dimethyldisulfide	-0.831	-1.917	-1.917	-4.950	1.094	-1.365	-3.109	-2.762	-3.758	-3.758	-3.329
4.19_1.00_methanol--dimethyldisulfide	-1.401	-2.534	-2.534	-5.545	-0.093	-1.624	-3.274	-3.006	-3.693	-3.693	-3.435
4.19_1.05_methanol--dimethyldisulfide	-1.664	-2.812	-2.812	-5.740	-0.869	-1.616	-3.170	-2.999	-3.428	-3.428	-3.338
4.19_1.10_methanol--dimethyldisulfide	-1.733	-2.861	-2.861	-5.650	-1.363	-1.481	-2.938	-2.883	-3.141	-3.141	-3.145
4.19_1.25_methanol--dimethyldisulfide	-1.479	-2.385	-2.386	-4.514	-1.894	-0.964	-2.127	-2.124	-2.214	-2.214	-2.430
4.19_1.50_methanol--dimethyldisulfide	-0.960	-1.469	-1.469	-2.310	-1.580	-0.503	-1.222	-1.115	-1.171	-1.171	-1.480
4.19_2.00_methanol--dimethyldisulfide	-0.427	-0.558	-0.558	-0.559	-0.671	-0.227	-0.444	-0.370	-0.398	-0.398	-0.583
4.20_0.80_methanol--methanethiol	3.724	3.300	3.299	1.428	7.597	3.400	1.941	3.151	0.567	0.567	0.604
4.20_0.85_methanol--methanethiol	1.308	0.724	0.723	-1.279	4.293	1.186	-0.215	0.722	-2.252	-2.252	-1.552
4.20_0.90_methanol--methanethiol	-0.209	-0.917	-0.918	-3.010	2.108	-0.434	-1.773	-1.073	-3.990	-3.990	-2.637
4.20_0.95_methanol--methanethiol	-1.113	-1.905	-1.905	-4.044	0.675	-1.256	-2.530	-2.005	-4.445	-4.445	-3.076
4.20_1.00_methanol--methanethiol	-1.594	-2.427	-2.427	-4.570	-0.255	-1.548	-2.757	-2.358	-4.117	-4.117	-3.147
4.20_1.05_methanol--methanethiol	-1.787	-2.625	-2.626	-4.733	-0.848	-1.572	-2.713	-2.416	-3.530	-3.530	-3.028
4.20_1.10_methanol--methanethiol	-1.801	-2.618	-2.618	-4.651	-1.217	-1.464	-2.534	-2.336	-2.971	-2.971	-2.822
4.20_1.25_methanol--methanethiol	-1.436	-2.108	-2.108	-3.744	-1.595	-0.973	-1.833	-1.739	-1.856	-1.856	-2.112
4.20_1.50_methanol--methanethiol	-0.871	-1.278	-1.278	-2.026	-1.301	-0.489	-1.028	-0.926	-0.982	-0.982	-1.221
4.20_2.00_methanol--methanethiol	-0.349	-0.451	-0.451	-0.453	-0.489	-0.194	-0.359	-0.292	-0.318	-0.318	-0.426
4.21_0.80_water--methanethiol	2.294	2.183	2.182	0.331	6.468	2.739	1.907	3.547	0.872	0.872	0.413
4.21_0.85_water--methanethiol	0.156	-0.040	-0.040	-2.025	3.494	0.683	-0.122	1.160	-1.896	-1.896	-1.682
4.21_0.90_water--methanethiol	-1.149	-1.415	-1.415	-3.493	1.555	-0.851	-1.627	-0.611	-3.616	-3.616	-2.729
4.21_0.95_water--methanethiol	-1.895	-2.224	-2.224	-4.353	0.304	-1.625	-2.370	-1.532	-4.065	-4.065	-3.148
4.21_1.00_water--methanethiol	-2.257	-2.639	-2.639	-4.776	-0.490	-1.881	-2.593	-1.894	-3.742	-3.742	-3.210
4.21_1.05_water--methanethiol	-2.361	-2.781	-2.781	-4.887	-0.981	-1.875	-2.553	-1.992	-3.184	-3.184	-3.089
4.21_1.10_water--methanethiol	-2.304	-2.747	-2.747	-4.783	-1.271	-1.741	-2.383	-1.968	-2.666	-2.666	-2.885
4.21_1.25_water--methanethiol	-1.799	-2.224	-2.224	-3.873	-1.516	-1.187	-1.717	-1.546	-1.697	-1.697	-2.195
4.21_1.50_water--methanethiol	-1.101	-1.388	-1.388	-2.155	-1.204	-0.625	-0.972	-0.868	-0.946	-0.946	-1.331
4.21_2.00_water--methanethiol	-0.457	-0.524	-0.524	-0.527	-0.477	-0.259	-0.365	-0.299	-0.335	-0.335	-0.533
4.22_0.80_methanethiol--dimethyldisulfide	5.428	4.521	4.519	2.965	8.359	2.918	0.379	1.106	-0.093	-0.093	-0.649
4.22_0.85_methanethiol--dimethyldisulfide	2.408	1.433	1.432	-0.298	4.370	0.294	-2.125	-1.652	-2.469	-2.469	-2.495
4.22_0.90_methanethiol--dimethyldisulfide	0.557	-0.488	-0.489	-2.351	1.739	-0.919	-3.215	-2.902	-3.422	-3.422	-3.379
4.22_0.95_methanethiol--dimethyldisulfide	-0.481	-1.605	-1.605	-3.553	0.042	-1.348	-3.516	-3.277	-3.600	-3.600	-3.704
4.22_1.00_methanethiol--dimethyldisulfide	-0.997	-2.197	-2.197	-4.186	-1.022	-1.373	-3.412	-3.238	-3.449	-3.449	-3.711
4.22_1.05_methanethiol--dimethyldisulfide	-1.207	-2.462	-2.462	-4.447	-1.663	-1.221	-3.127	-3.011	-3.165	-3.165	-3.545
4.22_1.10_methanethiol--dimethyldisulfide	-1.255	-2.528	-2.528	-4.469	-2.017	-1.017	-2.789	-2.718	-2.844	-2.844	-3.297
4.22_1.25_methanethiol--dimethyldisulfide	-1.068	-2.115	-2.115	-3.725	-2.138	-0.531	-1.899	-1.908	-1.997	-1.997	-2.466
4.22_1.50_methanethiol--dimethyldisulfide	-0.651	-1.137	-1.137	-1.902	-1.434	-0.250	-1.032	-0.866	-0.925	-0.925	-1.410
4.22_2.00_methanethiol--dimethyldisulfide	-0.271	-0.390	-0.390	-0.393	-0.450	-0.114	-0.321	-0.254	-0.282	-0.282	-0.496
4.23_0.80_methanethiol--dimethylsulfide	5.944	5.527	5.525	4.486	8.344	3.045	0.731	1.936	0.399	0.399	-0.509
4.23_0.85_methanethiol--dimethylsulfide	3.033	2.421	2.420	1.222	4.639	0.512	-1.705	-0.831	-2.196	-2.196	-2.277
4.23_0.90_methanethiol--dimethylsulfide	1.074	0.287	0.287	-1.034	2.131	-0.834	-2.950	-2.301	-3.398	-3.398	-3.149
4.23_0.95_methanethiol--dimethylsulfide	-0.159	-1.096	-1.097	-2.504	0.465	-1.373	-3.384	-2.871	-3.661	-3.661	-3.488
4.23_1.00_methanethiol--dimethylsulfide	-0.859	-1.915	-1.916	-3.377	-0.616	-1.485	-3.388	-2.994	-3.517	-3.517	-3.525
4.23_1.05_methanethiol--dimethylsulfide	-1.197	-2.335	-2.335	-3.819	-1.293	-1.381	-3.174	-2.925	-3.259	-3.259	-3.399
4.23_1.10_methanethiol--dimethylsulfide	-1.310	-2.488	-2.488	-3.966	-1.696	-1.189	-2.869	-2.759	-2.981	-2.981	-3.188
4.23_1.25_methanethiol--dimethylsulfide	-1.129	-2.180	-2.181	-3.498	-1.995	-0.630	-1.969	-1.975	-2.090	-2.090	-2.418
4.23_1.50_methanethiol--dimethylsulfide	-0.673	-1.237	-1.237	-2.018	-1.429	-0.243	-1.065	-0.953	-1.024	-1.024	-1.379
4.23_2.00_methanethiol--dimethylsulfide	-0.255	-0.396	-0.396	-0.430	-0.416	-0.089	-0.331	-0.256	-0.287	-0.287	-0.437
4.24_0.80_methanethiol--methanethiol	5.142	4.916	4.915	3.840	7.490	2.078	0.112	1.269	-0.703	-0.703	0.190
4.24_0.85_methanethiol--methanethiol	2.567	2.080	2.079	0.883	4.213	0.140	-1.755	-0.927	-2.347	-2.347	-1.229
4.24_0.90_methanethiol--methanethiol	0.931	0.230	0.230	-1.054	2.031	-0.745	-2.564	-2.005	-2.891	-2.891	-1.927
4.24_0.95_methanethiol--methanethiol	-0.020	-0.889	-0.889	-2.227	0.608	-1.048	-2.784	-2.428	-2.915	-2.915	-2.209
4.24_1.00_methanethiol--methanethiol	-0.511	-1.499	-1.499	-2.861	-0.302	-1.047	-2.695	-2.518	-2.762	-2.762	-2.254
4.24_1.05_methanethiol--methanethiol	-0.721	-1.780	-1.780	-3.138	-0.869	-0.910	-2.466	-2.402	-2.522	-2.522	-2.164
4.24_1.10_methanethiol--methanethiol	-0.777	-1.866	-1.866	-3.193	-1.206	-0.734	-2.193	-2.174	-2.240	-2.240	-2.005
4.24_1.25_methanethiol--methanethiol	-0.632	-1.586	-1.586	-2.696	-1.459	-0.314	-1.469	-1.529	-1.556	-1.556	-1.437
4.24_1.50_methanethiol--methanethiol	-0.319	-0.775	-0.775	-1.338	-0.995	-0.081	-0.763	-0.658	-0.670	-0.670	-0.705
4.24_2.00_methanethiol--methanethiol	-0.088	-0.195	-0.195	-0.201	-0.221	-0.012	-0.194	-0.142	-0.144	-0.144	-0.125
4.25_0.80_methanethiol--tetrahydrothiophene	5.526	4.827	4.824	3.815	7.915	2.324	-0.099	1.026	-0.711	-0.711	-2.109
4.25_0.85_methanethiol--tetrahydrothiophene	2.802	2.018	2.016	0.834	4.455	0.099	-2.219	-1.334	-2.975	-2.975	-3.688
4.25_0.90_methanethiol--tetrahydrothiophene	0.898	0.013	0.011	-1.303	2.077	-1.268	-3.480	-2.781	-4.190	-4.190	-4.418
4.25_0.95_methanethiol--tetrahydrothiophene	-0.350	-1.340	-1.342	-2.752	0.471	-1.819	-3.922	-3.347	-4.423	-4.423	-4.642
4.25_1.00_methanethiol--tetrahydrothiophene	-1.091	-2.173	-2.174	-3.646	-0.591	-1.923	-3.917	-3.450	-4.188	-4.188	-4.579
4.25_1.05_methanethiol--tetrahydrothiophene	-1.466	-2.615	-2.617	-4.117	-1.272	-1.798	-3.682	-3.348	-3.819	-3.819	-4.366
4.25_1.10_methanethiol--tetrahydrothiophene	-1.599	-2.785	-2.787	-4.287	-1.692	-1.574	-3.348	-3.166	-3.459	-3.459	-4.080
4.25_1.25_methanethiol--tetrahydrothiophene	-1.403	-2.509	-2.510	-3.864	-2.058	-0.896	-2.340	-2.323	-2.437	-2.437	-3.136
4.25_1.50_methanethiol--tetrahydrothiophene	-0.876	-1.536	-1.536	-2.366	-1.543	-0.372	-1.304	-1.210	-1.277	-1.277	-1.885
4.25_2.00_methanethiol--tetrahydrothiophene	-0.346	-0.523	-0.523	-0.570	-0.569	-0.144	-0.444	-0.352	-0.384	-0.384	-0.685
4.26_0.80_sulfane--dimethylsulfide	5.020	4.640	4.639	3.662	7.882	1.797	0.146	1.170	0.189	0.189	-1.186
4.26_0.85_sulfane--dimethylsulfide	2.466	2.025	2.024	0.873	4.503	-0.260	-1.851	-1.070	-2.103	-2.103	-2.717
4.26_0.90_sulfane--dimethylsulfide	0.695	0.179	0.179	-1.109	2.189	-1.477	-3.004	-2.375	-3.327	-3.327	-3.405
4.26_0.95_sulfane--dimethylsulfide	-0.457	-1.060	-1.060	-2.448	0.632	-1.909	-3.370	-2.825	-3.586	-3.586	-3.604
4.26_1.00_sulfane--dimethylsulfide	-1.133	-1.826	-1.826	-3.280	-0.394	-1.928	-3.319	-2.849	-3.388	-3.388	-3.539
4.26_1.05_sulfane--dimethylsulfide	-1.465	-2.238	-2.238	-3.726	-1.049	-1.748	-3.067	-2.714	-3.069	-3.069	-3.343
4.26_1.10_sulfane--dimethylsulfide	-1.573	-2.398	-2.398	-3.891	-1.449	-1.492	-2.738	-2.541	-2.773	-2.773	-3.092
4.26_1.25_sulfane--dimethylsulfide	-1.341	-2.127	-2.127	-3.488	-1.796	-0.803	-1.819	-1.796	-1.904	-1.904	-2.306
4.26_1.50_sulfane--dimethylsulfide	-0.808	-1.270	-1.270	-2.119	-1.334	-0.320	-0.970	-0.887	-0.954	-0.954	-1.333
4.26_2.00_sulfane--dimethylsulfide	-0.306	-0.420	-0.420	-0.473	-0.403	-0.117	-0.315	-0.246	-0.274	-0.274	-0.452
4.27_0.80_sulfane--sulfane	1.825	1.597	1.597	0.310	3.313	0.387	-0.341	0.031	-1.408	-1.408	-0.361
4.27_0.85_sulfane--sulfane	0.497	0.238	0.238	-1.164	1.734	-0.638	-1.334	-1.048	-2.228	-2.228	-1.141
4.27_0.90_sulfane--sulfane	-0.285	-0.563	-0.563	-2.036	0.717	-0.977	-1.638	-1.383	-2.175	-2.175	-1.435
4.27_0.95_sulfane--sulfane	-0.673	-0.962	-0.962	-2.466	0.072	-0.983	-1.607	-1.391	-1.833	-1.833	-1.476
4.27_1.00_sulfane--sulfane	-0.812	-1.109	-1.108	-2.608	-0.331	-0.844	-1.431	-1.282	-1.489	-1.489	-1.398
4.27_1.05_sulfane--sulfane	-0.814	-1.117	-1.117	-2.581	-0.572	-0.665	-1.213	-1.113	-1.194	-1.194	-1.272
4.27_1.10_sulfane--sulfane	-0.756	-1.063	-1.063	-2.464	-0.707	-0.496	-1.005	-0.917	-0.945	-0.945	-1.130
4.27_1.25_sulfane--sulfane	-0.542	-0.834	-0.833	-1.929	-0.755	-0.177	-0.570	-0.522	-0.523	-0.523	-0.753
4.27_1.50_sulfane--sulfane	-0.298	-0.441	-0.440	-0.918	-0.479	-0.035	-0.260	-0.209	-0.210	-0.210	-0.375
4.27_2.00_sulfane--sulfane	-0.095	-0.128	-0.128	-0.129	-0.107	0.004	-0.055	-0.037	-0.037	-0.037	-0.092
4.28_0.80_sulfane--tetrahydrothiophene	4.951	4.406	4.403	3.466	7.693	1.468	-0.589	0.666	-0.530	-0.530	-1.945
4.28_0.85_sulfane--tetrahydrothiophene	2.355	1.708	1.706	0.587	4.265	-0.522	-2.506	-1.513	-2.773	-2.773	-3.603
4.28_0.90_sulfane--tetrahydrothiophene	0.529	-0.232	-0.234	-1.497	1.905	-1.837	-3.745	-2.970	-4.148	-4.148	-4.358
4.28_0.95_sulfane--tetrahydrothiophene	-0.680	-1.555	-1.557	-2.928	0.307	-2.347	-4.174	-3.563	-4.519	-4.519	-4.573
4.28_1.00_sulfane--tetrahydrothiophene	-1.404	-2.377	-2.378	-3.822	-0.753	-2.381	-4.126	-3.648	-4.328	-4.328	-4.489
4.28_1.05_sulfane--tetrahydrothiophene	-1.769	-2.811	-2.812	-4.297	-1.434	-2.187	-3.846	-3.506	-3.940	-3.940	-4.251
4.28_1.10_sulfane--tetrahydrothiophene	-1.890	-2.968	-2.970	-4.467	-1.853	-1.899	-3.471	-3.281	-3.542	-3.542	-3.947
4.28_1.25_sulfane--tetrahydrothiophene	-1.626	-2.631	-2.632	-4.015	-2.214	-1.084	-2.384	-2.367	-2.449	-2.449	-2.986
4.28_1.50_sulfane--tetrahydrothiophene	-1.004	-1.616	-1.617	-2.505	-1.656	-0.467	-1.321	-1.226	-1.272	-1.272	-1.772
4.28_2.00_sulfane--tetrahydrothiophene	-0.393	-0.554	-0.554	-0.620	-0.530	-0.185	-0.462	-0.367	-0.387	-0.387	-0.631
4.29_0.80_hydrogenfluoride--dimethyldisulfide	6.990	6.617	6.615	-1.108	13.493	-0.251	-1.022	-0.076	-0.593	-0.594	-0.546
4.29_0.85_hydrogenfluoride--dimethyldisulfide	3.690	3.309	3.307	-4.619	8.664	-1.395	-2.144	-1.421	-2.431	-2.432	-2.992
4.29_0.90_hydrogenfluoride--dimethyldisulfide	1.605	1.221	1.219	-6.767	5.353	-2.032	-2.759	-2.195	-3.715	-3.715	-4.269
4.29_0.95_hydrogenfluoride--dimethyldisulfide	0.268	-0.122	-0.123	-8.030	3.086	-2.677	-3.381	-2.899	-4.772	-4.772	-4.763
4.29_1.00_hydrogenfluoride--dimethyldisulfide	-0.595	-0.996	-0.997	-8.696	1.536	-3.159	-3.840	-3.390	-5.322	-5.323	-4.781
4.29_1.05_hydrogenfluoride--dimethyldisulfide	-1.141	-1.557	-1.557	-8.934	0.480	-3.240	-3.895	-3.471	-5.171	-5.171	-4.539
4.29_1.10_hydrogenfluoride--dimethyldisulfide	-1.460	-1.891	-1.891	-8.848	-0.236	-3.039	-3.667	-3.287	-4.589	-4.589	-4.173
4.29_1.25_hydrogenfluoride--dimethyldisulfide	-1.620	-2.028	-2.028	-7.329	-1.239	-2.062	-2.603	-2.475	-2.830	-2.830	-3.022
4.29_1.50_hydrogenfluoride--dimethyldisulfide	-1.152	-1.446	-1.446	-3.801	-1.437	-1.019	-1.408	-1.286	-1.385	-1.385	-1.833
4.29_2.00_hydrogenfluoride--dimethyldisulfide	-0.557	-0.653	-0.653	-0.681	-0.841	-0.447	-0.598	-0.528	-0.581	-0.581	-0.875
4.30_0.80_hydrogenfluoride--dimethylsulfide	6.441	6.018	6.016	1.827	13.034	-1.222	-2.006	-0.684	-1.376	-1.378	-2.157
4.30_0.85_hydrogenfluoride--dimethylsulfide	2.746	2.314	2.311	-2.220	7.901	-2.678	-3.442	-2.394	-3.812	-3.813	-4.855
4.30_0.90_hydrogenfluoride--dimethylsulfide	0.511	0.077	0.075	-4.721	4.455	-3.152	-3.895	-3.055	-5.270	-5.271	-6.262
4.30_0.95_hydrogenfluoride--dimethylsulfide	-0.834	-1.267	-1.268	-6.244	2.162	-3.492	-4.213	-3.509	-6.404	-6.405	-6.768
4.30_1.00_hydrogenfluoride--dimethylsulfide	-1.637	-2.072	-2.073	-7.142	0.650	-3.880	-4.579	-3.943	-7.190	-7.191	-6.706
4.30_1.05_hydrogenfluoride--dimethylsulfide	-2.099	-2.542	-2.543	-7.619	-0.337	-4.037	-4.712	-4.117	-7.281	-7.282	-6.323
4.30_1.10_hydrogenfluoride--dimethylsulfide	-2.335	-2.789	-2.790	-7.791	-0.971	-3.854	-4.503	-3.953	-6.670	-6.670	-5.787
4.30_1.25_hydrogenfluoride--dimethylsulfide	-2.276	-2.724	-2.724	-7.077	-1.743	-2.674	-3.239	-2.938	-3.925	-3.926	-4.105
4.30_1.50_hydrogenfluoride--dimethylsulfide	-1.503	-1.816	-1.816	-4.294	-1.700	-1.283	-1.697	-1.522	-1.755	-1.755	-2.334
4.30_2.00_hydrogenfluoride--dimethylsulfide	-0.654	-0.768	-0.768	-0.848	-0.867	-0.482	-0.651	-0.563	-0.671	-0.671	-0.951
4.31_0.80_hydrogenfluoride--methanethiol	6.022	5.930	5.928	1.592	12.027	-0.734	-1.317	-0.017	-1.369	-1.370	-1.375
4.31_0.85_hydrogenfluoride--methanethiol	2.779	2.620	2.619	-2.037	7.402	-1.838	-2.408	-1.359	-3.622	-3.623	-3.788
4.31_0.90_hydrogenfluoride--methanethiol	0.789	0.586	0.585	-4.304	4.300	-2.374	-2.931	-2.075	-5.244	-5.245	-4.995
4.31_0.95_hydrogenfluoride--methanethiol	-0.438	-0.673	-0.674	-5.706	2.235	-2.923	-3.465	-2.727	-6.524	-6.525	-5.395
4.31_1.00_hydrogenfluoride--methanethiol	-1.190	-1.455	-1.456	-6.539	0.868	-3.370	-3.896	-3.219	-7.143	-7.143	-5.308
4.31_1.05_hydrogenfluoride--methanethiol	-1.633	-1.927	-1.928	-6.974	-0.028	-3.444	-3.953	-3.324	-6.847	-6.848	-4.960
